drug_a_name,drug_b_name,cell_line,synergy,label
PACLITAXEL,TEMOZOLOMIDE,ES2,10.2946553392,1
BORTEZOMIB,MK-8669,SW620,-2.606203184,0
CYCLOPHOSPHAMIDE,ABT-888,SW837,-15.4205582186,0
VINORELBINE,DASATINIB,T47D,45.2193548182,1
ZOLINZA,SORAFENIB,KPL1,-5.1594225355,0
MK-4541,SN-38,A2780,10.7596187854,1
PD325901,BORTEZOMIB,HT29,-16.7945793237,0
MK-4541,ERLOTINIB,ES2,13.5827776795,1
CYCLOPHOSPHAMIDE,PD325901,PA1,-5.8862636302,0
SUNITINIB,TEMOZOLOMIDE,A427,26.7037249465,1
ZOLINZA,SUNITINIB,SW620,-12.805035681,0
MK-2206,ERLOTINIB,LOVO,32.1198662891,1
ZOLINZA,MK-2206,VCAP,38.0943699851,1
ETOPOSIDE,LAPATINIB,PA1,-4.3378302515,0
CYCLOPHOSPHAMIDE,ERLOTINIB,OV90,-13.2393729614,0
CYCLOPHOSPHAMIDE,BEZ-235,LOVO,15.2155428654,1
MRK-003,METHOTREXATE,A2058,-11.7868908276,0
DOXORUBICIN,L778123,ZR751,-0.1368070014,0
METFORMIN,MK-8776,UWB1289,-5.4808011742,0
MRK-003,DASATINIB,HT144,-41.8428974321,0
MK-4827,PD325901,NCIH1650,-10.3919106172,0
SUNITINIB,SN-38,A427,-0.4973874238,0
AZD1775,DASATINIB,HT29,17.226581755799998,1
DEXAMETHASONE,GELDANAMYCIN,SKOV3,-8.349969985,0
SN-38,MK-8776,A2058,24.3993434474,1
DOXORUBICIN,GELDANAMYCIN,NCIH23,-23.6318948039,0
SN-38,SORAFENIB,OV90,-7.5790795637,0
VINORELBINE,ERLOTINIB,SKMES1,37.3506501502,1
MK-4827,MK-8776,HT144,21.7663508857,1
MK-4827,MK-8669,SKMES1,20.5577616505,1
MK-4541,DEXAMETHASONE,ZR751,14.8700239077,1
ETOPOSIDE,SORAFENIB,NCIH520,12.5746099592,1
MK-2206,PD325901,SKOV3,51.4896579157,1
METHOTREXATE,MK-8669,HT29,-2.0247037689,0
DASATINIB,SORAFENIB,MDAMB436,14.2357351099,1
BEZ-235,DINACICLIB,NCIH23,15.9310764804,1
BEZ-235,MK-8776,SKMEL30,39.1988902972,1
GEMCITABINE,MK-8669,UACC62,25.1341982334,1
MRK-003,OXALIPLATIN,SW620,-16.4651354671,0
MITOMYCINE,BEZ-235,SKOV3,12.8397361583,1
ZOLINZA,DASATINIB,SW837,30.5012988853,1
VINBLASTINE,ZOLINZA,NIHOVCAR3,-17.1502664962,0
MRK-003,DASATINIB,LOVO,44.1772285502,1
ERLOTINIB,BEZ-235,NCIH23,30.3951784677,1
5-FU,DINACICLIB,HT29,-2.5394087442,0
ETOPOSIDE,SORAFENIB,SKOV3,-3.4137803701,0
MRK-003,BORTEZOMIB,SW620,10.9239793551,1
DASATINIB,SORAFENIB,SKOV3,10.2805244942,1
MK-5108,MK-8776,SKMEL30,26.7706727696,1
ETOPOSIDE,ERLOTINIB,SKMEL30,19.9688948808,1
MRK-003,ZOLINZA,ES2,-3.9216184853,0
L778123,GELDANAMYCIN,A375,28.833586116,1
DEXAMETHASONE,ZOLINZA,LOVO,15.1478223635,1
ETOPOSIDE,AZD1775,T47D,-20.6984306851,0
GELDANAMYCIN,OXALIPLATIN,SW620,-13.606400487,0
ZOLINZA,BEZ-235,VCAP,28.6829739119,1
VINBLASTINE,PD325901,SW837,-4.3798042692,0
ETOPOSIDE,DINACICLIB,NIHOVCAR3,-2.327807888,0
CARBOPLATIN,MK-5108,NCIH460,-17.5324902057,0
METHOTREXATE,MK-8776,NCIH1650,-5.1378130297,0
L778123,SUNITINIB,CAOV3,12.1935736215,1
DOXORUBICIN,MK-5108,CAOV3,-0.7798249479,0
MK-8669,SN-38,VCAP,28.2751087715,1
METFORMIN,MK-2206,NCIH1650,-1.6297148893,0
MK-5108,GELDANAMYCIN,PA1,-8.5811111577,0
GEMCITABINE,BORTEZOMIB,NCIH520,-17.7878873701,0
BEZ-235,SN-38,NIHOVCAR3,20.4919458497,1
TEMOZOLOMIDE,MK-8776,NCIH2122,-19.66458168475,0
ZOLINZA,GELDANAMYCIN,NCIH460,-43.2871074883,0
MK-5108,ABT-888,CAOV3,15.6334189345,1
SUNITINIB,LAPATINIB,NCIH520,14.8363795609,1
CARBOPLATIN,MK-4827,SW837,-18.4010417862,0
PD325901,SORAFENIB,T47D,25.0665499759,1
L778123,BEZ-235,LOVO,23.2495067869,1
MRK-003,BORTEZOMIB,RKO,-8.0475265239,0
TEMOZOLOMIDE,SN-38,CAOV3,-38.3576741141,0
ABT-888,TOPOTECAN,NIHOVCAR3,-21.5827409024,0
MK-8669,BEZ-235,RKO,44.3569040447,1
CYCLOPHOSPHAMIDE,BORTEZOMIB,A427,-8.5027727279,0
METHOTREXATE,ZOLINZA,LOVO,-3.45291067,0
VINORELBINE,TEMOZOLOMIDE,KPL1,-27.613491288,0
MK-5108,SN-38,NCIH520,-17.8998905697,0
PACLITAXEL,DASATINIB,SKOV3,39.5255766834,1
SUNITINIB,ERLOTINIB,A2780,10.1175480411,1
TEMOZOLOMIDE,ERLOTINIB,SKMES1,11.3611098702,1
GEMCITABINE,MK-8776,NIHOVCAR3,30.6004287171,1
DEXAMETHASONE,BEZ-235,SW837,14.0505939116,1
5-FU,L778123,PA1,14.5367422952,1
ZOLINZA,TOPOTECAN,ZR751,12.2237910867,1
MRK-003,LAPATINIB,PA1,34.63374586285,1
ERLOTINIB,BORTEZOMIB,ES2,-22.6489713088,0
PACLITAXEL,LAPATINIB,SKOV3,29.8265964213,1
SUNITINIB,TOPOTECAN,LOVO,-2.9779366246,0
ETOPOSIDE,GELDANAMYCIN,NCIH2122,-0.4381114019,0
VINBLASTINE,BORTEZOMIB,SKOV3,-1.7328849344,0
VINORELBINE,MK-4827,LOVO,-4.5229873646,0
MK-4827,BEZ-235,UWB1289,12.667173819,1
SUNITINIB,MK-8776,UWB1289,-10.3861387592,0
MK-4541,BEZ-235,NCIH520,24.3403755787,1
METHOTREXATE,MK-8669,NCIH520,-7.4241015994,0
CYCLOPHOSPHAMIDE,GELDANAMYCIN,UACC62,-13.0158697983,0
MK-4827,BEZ-235,HT144,22.5142329719,1
ABT-888,BEZ-235,VCAP,18.5742481179,1
SUNITINIB,ABT-888,SKMES1,10.2099092261,1
MITOMYCINE,SORAFENIB,RKO,-19.0689622582,0
5-FU,ERLOTINIB,MDAMB436,16.1498978974,1
L778123,MK-2206,UACC62,21.6395427247,1
5-FU,ZOLINZA,VCAP,22.9956559083,1
DASATINIB,TOPOTECAN,NCIH520,62.1900136572,1
CYCLOPHOSPHAMIDE,MK-8669,OV90,13.0321042728,1
ZOLINZA,ERLOTINIB,SKMES1,22.0370234704,1
MK-4541,LAPATINIB,RPMI7951,-2.9384349112,0
ERLOTINIB,MK-8669,NCIH520,20.0274196597,1
MK-4541,PACLITAXEL,HT144,22.4186759044,1
CYCLOPHOSPHAMIDE,MK-2206,LOVO,-11.1544858446,0
